Name                                                  Pid   PPid   Thds   Hnds Time
-------------------------------------------------- ------ ------ ------ ------ ----
 0xfffffa8001c7c060:wininit.exe                       428    312      3     75 2019-12-20 03:41:48 UTC+0000
. 0xfffffa8001c7bb30:services.exe                     484    428      8    213 2019-12-20 03:41:50 UTC+0000
.. 0xfffffa8001f93b30:TCPSVCS.EXE                    1416    484      4     97 2019-12-20 03:42:13 UTC+0000
.. 0xfffffa8001d4cb30:VBoxService.ex                  656    484     13    135 2019-12-20 03:41:55 UTC+0000
.. 0xfffffa8001e6c700:svchost.exe                    1044    484     16    381 2019-12-20 03:42:04 UTC+0000
.. 0xfffffa800109f060:svchost.exe                    2632    484      7     82 2019-12-20 03:47:54 UTC+0000
... 0xfffffa8000efbb30:WerFault.exe                   780   2632      7    160 2019-12-20 03:48:01 UTC+0000
... 0xfffffa8000ee8060:WerFault.exe                  2716   2632      8    161 2019-12-20 03:47:54 UTC+0000
... 0xfffffa8000f05b30:WerFault.exe                  2168   2632      7 15...4 2019-12-20 03:48:15 UTC+0000
.. 0xfffffa8001dc2b30:svchost.exe                     880    484     33    983 2019-12-20 03:41:58 UTC+0000
... 0xfffffa8002117b30:taskeng.exe                   1140    880      4     79 2019-12-20 03:43:19 UTC+0000
.. 0xfffffa8001dbf350:taskhost.exe                   2012    484      8    189 2019-12-20 03:43:19 UTC+0000
.. 0xfffffa800222d7a0:SearchIndexer.                 1800    484     13    710 2019-12-20 03:43:36 UTC+0000
... 0xfffffa8000f63060:SearchFilterHo                2608   1800      5     78 2019-12-20 03:46:41 UTC+0000
... 0xfffffa8000ea7b30:SearchProtocol                 628   1800      6    270 2019-12-20 03:46:41 UTC+0000
.. 0xfffffa80022a9b30:wmpnetwk.exe                   1928    484     16    510 2019-12-20 03:43:40 UTC+0000
.. 0xfffffa8001da1240:svchost.exe                     820    484     23    590 2019-12-20 03:41:57 UTC+0000
... 0xfffffa8000cf5b30:audiodg.exe                    968    820      6    131 2019-12-20 03:42:00 UTC+0000
.. 0xfffffa8001efbb30:svchost.exe                    1272    484     19    307 2019-12-20 03:42:10 UTC+0000
.. 0xfffffa8001ce6b30:svchost.exe                     588    484     10    357 2019-12-20 03:41:54 UTC+0000
... 0xfffffa8001c3e910:WmiPrvSE.exe                  2572    588      6    109 2019-12-20 03:43:56 UTC+0000
... 0xfffffa8000f27b30:dllhost.exe                    668    588      8    149 2019-12-20 03:46:37 UTC+0000
.. 0xfffffa8001ee1060:spoolsv.exe                    1232    484     13    283 2019-12-20 03:42:09 UTC+0000
.. 0xfffffa8001d63b30:svchost.exe                     724    484      8    282 2019-12-20 03:41:56 UTC+0000
.. 0xfffffa8001dba060:svchost.exe                     856    484     28    535 2019-12-20 03:41:58 UTC+0000
... 0xfffffa8002170b30:dwm.exe                       1172    856      5     71 2019-12-20 03:43:19 UTC+0000
... 0xfffffa8000fb34d0:dwm.exe                       2360    856      5     71 2019-12-20 03:46:49 UTC+0000
.. 0xfffffa8001f775f0:svchost.exe                    1372    484     22    303 2019-12-20 03:42:12 UTC+0000
.. 0xfffffa8001ec57c0:svchost.exe                    2296    484      9    355 2019-12-20 03:43:45 UTC+0000
.. 0xfffffa8000fcd8e0:taskhost.exe                   1968    484      9    150 2019-12-20 03:46:49 UTC+0000
.. 0xfffffa80014a6390:svchost.exe                    1128    484     13    315 2019-12-20 03:44:31 UTC+0000
.. 0xfffffa8001e1cb30:svchost.exe                     340    484     22    504 2019-12-20 03:42:03 UTC+0000
.. 0xfffffa800209b760:sppsvc.exe                     2940    484      4    141 2019-12-20 03:44:24 UTC+0000
. 0xfffffa8001cb9880:lsass.exe                        492    428      9    761 2019-12-20 03:41:50 UTC+0000
. 0xfffffa8001cbc4a0:lsm.exe                          500    428     10    171 2019-12-20 03:41:50 UTC+0000
 0xfffffa8000d96b30:csrss.exe                         320    312     10    471 2019-12-20 03:41:45 UTC+0000
 0xfffffa8000ca0040:System                              4      0     80    562 2019-12-20 03:41:40 UTC+0000
. 0xfffffa80014b9040:smss.exe                         248      4      3     37 2019-12-20 03:41:40 UTC+0000
.. 0xfffffa8001c6b060:psxss.exe                       376    248     18    786 2019-12-20 03:41:47 UTC+0000
 0xfffffa80010213d0:explorer.exe                     1580   2256     40   1007 2019-12-20 03:46:49 UTC+0000
. 0xfffffa800108cb30:NOTEPAD.EXE                     2724   1580      1     39 2019-12-20 03:47:53 UTC+0000
. 0xfffffa8000f02b30:NOTEPAD.EXE                     2056   1580      1    226 2019-12-20 03:48:15 UTC+0000
. 0xfffffa8000eeb060:DumpIt.exe                      2208   1580      2     45 2019-12-20 03:47:39 UTC+0000
. 0xfffffa800221ab30:NOTEPAD.EXE                     1388   1580      1     39 2019-12-20 03:48:00 UTC+0000
. 0xfffffa800105ab30:VBoxTray.exe                    2144   1580     13    138 2019-12-20 03:46:50 UTC+0000
. 0xfffffa80010b8060:notepad.exe                     2744   1580      1     57 2019-12-20 03:47:21 UTC+0000
. 0xfffffa8000f97a20:WinRAR.exe                      2924   1580      6    210 2019-12-20 03:47:13 UTC+0000
 0xfffffa8001c775a0:winlogon.exe                      416    360      3    108 2019-12-20 03:41:48 UTC+0000
 0xfffffa8001c5d060:csrss.exe                         368    360      8    173 2019-12-20 03:41:47 UTC+0000
 0xfffffa8000f82060:winlogon.exe                     2120    364      4    113 2019-12-20 03:46:42 UTC+0000
 0xfffffa8000f7a630:csrss.exe                        1988    364      7    219 2019-12-20 03:46:42 UTC+0000
. 0xfffffa8000eab790:conhost.exe                     2612   1988      2     51 2019-12-20 03:47:40 UTC+0000
 0xfffffa8002198b30:explorer.exe                     1396   1180     30    758 2019-12-20 03:43:19 UTC+0000
. 0xfffffa8002206890:VBoxTray.exe                     528   1396     12    139 2019-12-20 03:43:25 UTC+0000
