Offset(P)            #Ptr   #Hnd Access Name
------------------ ------ ------ ------ ----
0x000000003e8009a0      1      1 R--rwd \Device\HarddiskVolume2\Windows\System32\catroot
0x000000003e800f20     14      0 R--r-d \Device\HarddiskVolume2\Windows\System32\SearchIndexer.exe
0x000000003e8012d0     14      0 R--r-d \Device\HarddiskVolume2\Windows\System32\esent.dll
0x000000003e8027c0      1      1 R--rw- \Device\HarddiskVolume2\Windows\System32
0x000000003e80d320      1      1 R--rw- \Device\HarddiskVolume2\Windows\winsxs\amd64_microsoft.windows.common-controls_6595b64144ccf1df_6.0.7601.17514_none_fa396087175ac9ac
0x000000003e812070     10      0 R--r-d \Device\HarddiskVolume2\Windows\System32\msidle.dll
0x000000003e812c00      8      0 R--r-d \Device\HarddiskVolume2\Windows\System32\netman.dll
0x000000003e816070      2      0 R--r-d \Device\HarddiskVolume2\Windows\System32\rasdlg.dll
0x000000003e819960     17      0 RW-rwd \Device\HarddiskVolume2\$Directory
0x000000003e819f20      8      0 R--r-d \Device\HarddiskVolume2\Windows\System32\ActionCenter.dll
0x000000003e81a070     16      0 R--r-d \Device\HarddiskVolume2\Windows\System32\mssprxy.dll
0x000000003e81dda0      4      1 RW-rw- \Device\HarddiskVolume2\ProgramData\Microsoft\Search\Data\Applications\Windows\Projects\SystemIndex\PropMap\CiPT0000.000
0x000000003e81f070      9      0 R--r-d \Device\HarddiskVolume2\Windows\System32\dot3api.dll
0x000000003e81f3b0     16      0 R--r-- \Device\HarddiskVolume2\ProgramData\Microsoft\Search\Data\Applications\Windows\Projects\SystemIndex\PropMap\CiPT0000.002
0x000000003e81fbb0     33      0 RW-rwd \Device\HarddiskVolume2\$Directory
0x000000003e822cc0      9      0 R--r-d \Device\HarddiskVolume2\Windows\System32\eappcfg.dll
0x000000003e830a90      9      0 R--r-d \Device\HarddiskVolume2\Windows\System32\wlanhlp.dll
0x000000003e830be0     12      0 R--r-d \Device\HarddiskVolume2\Windows\System32\wlanutil.dll
0x000000003e831480     33      1 -W-r-- \Device\HarddiskVolume2\ProgramData\Microsoft\Search\Data\Applications\Windows\GatherLogs\SystemIndex\SystemIndex.5.gthr
0x000000003e831f20      8      0 R--r-d \Device\HarddiskVolume2\Windows\System32\wlanapi.dll
0x000000003e8328b0     10      0 R--r-d \Device\HarddiskVolume2\Windows\System32\onex.dll
0x000000003e832a00     33      1 -W-r-- \Device\HarddiskVolume2\ProgramData\Microsoft\Search\Data\Applications\Windows\GatherLogs\SystemIndex\SystemIndex.5.Crwl
0x000000003e833070     12      0 R--r-d \Device\HarddiskVolume2\Windows\System32\eappprxy.dll
0x000000003e833830      4      0 R--r-d \Device\HarddiskVolume2\Windows\System32\QAGENT.DLL
0x000000003e833f20     13      0 R--r-d \Device\HarddiskVolume2\Windows\System32\en-US\tquery.dll.mui
0x000000003e8369e0     12      0 R--r-d \Device\HarddiskVolume2\Windows\System32\wwapi.dll
0x000000003e836c80      4      0 R--r-d \Device\HarddiskVolume2\Windows\System32\WWanAPI.dll
0x000000003e837070     17      1 R--r-d \Device\HarddiskVolume2\Windows\System32\en-US\bthprops.cpl.mui
0x000000003e838c10     17      0 R--r-- \Device\HarddiskVolume2\ProgramData\Microsoft\Search\Data\Applications\Windows\MSS.log
0x000000003e838dd0      4      0 R--r-- \Device\HarddiskVolume2\ProgramData\Microsoft\Search\Data\Applications\Windows\Windows.edb
0x000000003e838f20     16      0 R--r-- \Device\HarddiskVolume2\ProgramData\Microsoft\Search\Data\Applications\Windows\MSS.chk
0x000000003e839580     12      0 R--r-d \Device\HarddiskVolume2\Windows\SysWOW64\winnsi.dll
0x000000003e839710      2      2 RW-rwd \Device\HarddiskVolume2\Users\eminem\AppData\Local\Microsoft\Windows\Explorer\thumbcache_256.db
0x000000003e839f20     17      1 RW-rw- \Device\HarddiskVolume2\ProgramData\Microsoft\Search\Data\Applications\Windows\Projects\SystemIndex\Indexer\CiFiles\00010007.wid
0x000000003e83b2d0      2      0 R--rwd \Device\HarddiskVolume2\Users\eminem\Videos\desktop.ini
