Name                                                  Pid   PPid   Thds   Hnds Time
-------------------------------------------------- ------ ------ ------ ------ ----
 0x84d93c68:wininit.exe                               388    332      3     79 2018-10-23 08:29:23 UTC+0000
. 0x84debd20:services.exe                             484    388     10    191 2018-10-23 08:29:25 UTC+0000
.. 0x84e8c648:svchost.exe                             896    484     30    809 2018-10-23 08:29:33 UTC+0000
.. 0x84e41708:VBoxService.ex                          652    484     12    116 2018-10-23 08:29:31 UTC+0000
.. 0x84e7ad20:svchost.exe                             804    484     19    378 2018-10-23 08:29:32 UTC+0000
... 0x84ea7d20:audiodg.exe                            988    804      6    127 2018-10-23 08:29:35 UTC+0000
.. 0x84f7d578:svchost.exe                            1460    484     11    148 2018-10-23 08:29:44 UTC+0000
.. 0x84f323f8:spoolsv.exe                            1336    484     16    295 2018-10-23 08:29:43 UTC+0000
.. 0x850b2538:taskhost.exe                            308    484      8    151 2018-10-23 08:29:55 UTC+0000
.. 0x850d0030:sppsvc.exe                             1164    484      6    154 2018-10-23 08:29:57 UTC+0000
.. 0x84e54030:svchost.exe                             716    484      9    243 2018-10-23 08:29:32 UTC+0000
.. 0x84e84898:svchost.exe                             848    484     20    400 2018-10-23 08:29:33 UTC+0000
... 0x85109030:dwm.exe                               1992    848      5    132 2018-10-23 08:30:04 UTC+0000
.. 0x84f4dca0:svchost.exe                            1364    484     19    307 2018-10-23 08:29:43 UTC+0000
.. 0x84f828f8:svchost.exe                            1488    484      8    170 2018-10-23 08:29:44 UTC+0000
.. 0x84e89c68:svchost.exe                             872    484     19    342 2018-10-23 08:29:33 UTC+0000
.. 0x85164030:SearchIndexer.                         2032    484     14    614 2018-10-23 08:30:14 UTC+0000
... 0x8515cd20:SearchFilterHo                        1292   2032      5     80 2018-10-23 08:30:17 UTC+0000
... 0x8515ad20:SearchProtocol                         284   2032      7    235 2018-10-23 08:30:16 UTC+0000
.. 0x84f033c8:svchost.exe                            1192    484     15    365 2018-10-23 08:29:40 UTC+0000
.. 0x84e23030:svchost.exe                             592    484     12    358 2018-10-23 08:29:30 UTC+0000
. 0x84def3d8:lsass.exe                                492    388      7    480 2018-10-23 08:29:25 UTC+0000
. 0x84df2378:lsm.exe                                  500    388     10    146 2018-10-23 08:29:25 UTC+0000
 0x84d69030:csrss.exe                                 340    332      8    347 2018-10-23 08:29:21 UTC+0000
 0x83d09c58:System                                      4      0     85    483 2018-10-23 08:29:16 UTC+0000
. 0x8437db18:smss.exe                                 260      4      2     29 2018-10-23 08:29:16 UTC+0000
 0x85097870:explorer.exe                              324   1876     33    827 2018-10-23 08:30:04 UTC+0000
. 0x845a8d20:DumpIt.exe                              2412    324      2     38 2018-10-23 08:30:48 UTC+0000
. 0x851a6610:cmd.exe                                 2096    324      1     22 2018-10-23 08:30:18 UTC+0000
. 0x85135af8:VBoxTray.exe                            1000    324     14    159 2018-10-23 08:30:08 UTC+0000
 0x84dcbd20:winlogon.exe                              424    372      6    117 2018-10-23 08:29:23 UTC+0000
 0x84d8d030:csrss.exe                                 380    372      9    188 2018-10-23 08:29:23 UTC+0000
. 0x84d83d20:conhost.exe                             2424    380      2     51 2018-10-23 08:30:48 UTC+0000
. 0x851a5cd8:conhost.exe                             2104    380      2     52 2018-10-23 08:30:18 UTC+0000
